subjID,itrial,CasesName,filename,Lesion,MouseScreenX,MouseScreenY,ImageMouseX_X_521_,ImageMouseY,NotOnTissue,Accuracy,OldTrialType,NewTrialType
22,28,c384,28_c384_C.jpg,1,1167,857,646,857,0,1,HIT,HIT
22,29,c304,29_c304_C.jpg,1,1206,493,685,493,0,1,HIT,HIT
22,30,n352,30_n352_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,31,c5,31_c5_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,32,c227,32_c227_C.jpg,1,859,610,338,610,0,1,HIT,HIT
22,33,c196,33_c196_C.jpg,1,994,699,473,699,0,1,HIT,HIT
22,34,c387,34_c387_C.jpg,1,1249,524,728,524,0,1,HIT,MISS&FA
22,35,c79,35_c79_C.jpg,1,1217,703,696,703,0,1,HIT,HIT
22,36,c251,36_c251_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,37,c176,37_c176_C.jpg,1,1028,857,507,857,0,1,HIT,HIT
22,38,c116,38_c116_C.jpg,1,1101,455,580,455,0,1,HIT,HIT
22,39,c149,39_c149_C.jpg,1,1248,395,727,395,0,1,HIT,HIT
22,40,c138,40_c138_C.jpg,1,1004,868,483,868,0,1,HIT,MISS&FA
22,41,c46,41_c46_C.jpg,1,1013,522,492,522,0,1,HIT,HIT
22,42,c39,42_c39_C.jpg,1,1245,542,724,542,0,1,HIT,HIT
22,43,n271,43_n271_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,44,c437,44_c437_C.jpg,1,1225,362,704,362,0,1,HIT,HIT
22,45,n53,45_n53_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,46,c284,46_c284_C.jpg,1,1164,472,643,472,0,1,HIT,MISS&FA
22,47,c182,47_c182_C.jpg,1,1264,775,743,775,0,1,HIT,HIT
22,48,n297,48_n297_N.jpg,0,1140,539,619,539,0,0,FA,FA
22,49,c41,49_c41_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,50,n349,50_n349_N.jpg,0,1171,438,650,438,0,0,FA,FA
22,51,c134,51_c134_C.jpg,1,1124,412,603,412,0,1,HIT,HIT
22,52,c148,52_c148_C.jpg,1,1235,387,714,387,0,1,HIT,HIT
22,53,n88,53_n88_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,54,n174,54_n174_N.jpg,0,1318,651,797,651,0,0,FA,FA
22,55,n284,55_n284_N.jpg,0,1159,617,638,617,0,0,FA,FA
22,56,n264,56_n264_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,57,c266,57_c266_C.jpg,1,1157,604,636,604,0,1,HIT,HIT
22,58,c484,58_c484_C.jpg,1,1148,773,627,773,0,1,null,znull
22,59,c306,59_c306_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,60,n260,60_n260_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
22,61,c165,61_c165_C.jpg,1,1291,576,770,576,0,1,HIT,HIT
22,62,c378,62_c378_C.jpg,1,1286,462,765,462,0,1,HIT,HIT
22,63,c9,63_c9_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
22,64,c255,64_c255_C.jpg,1,1023,806,502,806,0,1,HIT,HIT
